Development,AvailableLots,timestamp
Suntec City,2730,2022-04-05T20:32
Suntec City,2730,2022-04-05T20:37
Suntec City,2731,2022-04-05T20:47
Suntec City,2731,2022-04-05T21:02
Suntec City,2730,2022-04-05T22:02
Suntec City,1029,2022-04-06T04:02
Suntec City,972,2022-04-06T04:22
Suntec City,917,2022-04-07T06:02
Suntec City,928,2022-04-07T06:32
Suntec City,928,2022-04-07T06:37
Suntec City,2516,2022-04-07T14:32
Suntec City,2516,2022-04-07T14:37
Suntec City,1202,2022-04-08T03:47
Suntec City,902,2022-04-08T06:37
Suntec City,902,2022-04-08T06:42
Suntec City,896,2022-04-08T07:22
Suntec City,906,2022-04-08T07:32
Suntec City,906,2022-04-08T07:37
Suntec City,921,2022-04-08T07:52
Suntec City,2739,2022-04-08T17:47
Suntec City,2746,2022-04-08T18:37
Suntec City,2746,2022-04-08T18:42
Suntec City,2747,2022-04-08T19:02
Suntec City,2742,2022-04-08T21:37
Suntec City,2742,2022-04-08T21:42
Suntec City,2743,2022-04-08T21:47
Suntec City,2743,2022-04-08T21:52
Suntec City,2743,2022-04-08T21:57
Suntec City,2745,2022-04-08T22:02
Suntec City,2368,2022-04-09T15:02
Suntec City,2471,2022-04-09T15:27
Suntec City,2516,2022-04-09T15:37
Suntec City,2724,2022-04-09T18:27
Suntec City,2727,2022-04-09T18:42
Suntec City,2404,2022-04-10T13:47
Suntec City,2675,2022-04-10T16:12
Suntec City,2701,2022-04-10T16:42
Suntec City,2750,2022-04-10T21:57
Suntec City,2750,2022-04-10T22:02
Suntec City,1021,2022-04-13T04:22
Suntec City,1017,2022-04-13T04:27
Suntec City,1010,2022-04-13T04:32
Suntec City,2280,2022-04-13T13:42
Suntec City,2301,2022-04-13T13:47
Suntec City,1331,2022-04-14T13:02
Suntec City,1385,2022-04-15T13:32
Suntec City,2223,2022-04-16T02:57
Suntec City,1338,2022-04-16T13:22
Suntec City,1936,2022-04-17T12:57
Suntec City,965,2022-04-18T05:02
Suntec City,2467,2022-04-18T13:57
Suntec City,1187,2022-04-19T03:32
Suntec City,1180,2022-04-19T03:37
Suntec City,1143,2022-04-19T03:47
Suntec City,1735,2022-04-19T11:02
Suntec City,1705,2022-04-19T11:17
Suntec City,1705,2022-04-19T11:22
