LinkID,Location,MaximumSpeed,MinimumSpeed,RoadCategory,RoadName,SpeedBand,timestamp
103000000,1.3170142376560023 103.85298052044503 1.3166840028663076 103.85259882242372,29,20,E,KENT ROAD,3,park/traffic_spe
103000010,1.3166507852203482 103.84102305136321 1.316912438354752 103.84022564204443,39,30,E,BUCKLEY ROAD,4,park/traffic_spe
103000011,1.316912438354752 103.84022564204443 1.3166507852203482 103.84102305136321,29,20,E,BUCKLEY ROAD,3,park/traffic_spe
103000014,1.3186726294030418 103.84700267615683 1.3180212058893457 103.84711392225329,49,40,E,SHREWSBURY ROAD,5,park/traffic_spe
103000015,1.3180212058893457 103.84711392225329 1.3186726294030418 103.84700267615683,29,20,E,SHREWSBURY ROAD,3,park/traffic_spe
103000018,1.3157770120574521 103.84426743639843 1.3159796416371992 103.84479180450104,39,30,E,JALAN KORMA,4,park/traffic_spe
103000019,1.3159796416371992 103.84479180450104 1.3157770120574521 103.84426743639843,49,40,E,JALAN KORMA,5,park/traffic_spe
103000022,1.3157638139947652 103.85346718361517 1.3159850985084538 103.8540099459191,29,20,E,SING AVENUE,3,park/traffic_spe
103000023,1.3159850985084538 103.8540099459191 1.3157638139947652 103.85346718361517,29,20,E,SING AVENUE,3,park/traffic_spe
103000026,1.3193495076454247 103.84576595796847 1.3193341206043803 103.84649970636902,39,30,E,MOULMEIN RISE,4,park/traffic_spe
103000027,1.3193341206043803 103.84649970636902 1.3193495076454247 103.84576595796847,39,30,E,MOULMEIN RISE,4,park/traffic_spe
103000030,1.3187614079491163 103.84584773223746 1.3184775003743368 103.845922903644,999,70,E,SINARAN DRIVE,8,park/traffic_spe
103000031,1.3184775003743368 103.845922903644 1.3187614079491163 103.84584773223746,39,30,E,SINARAN DRIVE,4,park/traffic_spe
103000034,1.3095165181658415 103.85444503278327 1.3102490949407017 103.85489147379481,29,20,E,LEMBU ROAD,3,park/traffic_spe
103000035,1.3102490949407017 103.85489147379481 1.3095165181658415 103.85444503278327,29,20,E,LEMBU ROAD,3,park/traffic_spe
103000036,1.3095165181658415 103.85444503278327 1.3098257335080767 103.85396567774879,39,30,E,DESKER ROAD,4,park/traffic_spe
103000040,1.3094817613742067 103.85571657719505 1.3100415318076366 103.85617487784177,29,20,D,VERDUN ROAD,3,park/traffic_spe
103000044,1.3102490949407017 103.85489147379481 1.3094817613742067 103.85571657719505,29,20,E,SYED ALWI ROAD,3,park/traffic_spe
103000050,1.3040240949630044 103.82435328722222 1.3035181120546362 103.82439062361162,39,30,E,ORCHARD SPRING LANE,4,park/traffic_spe
103000051,1.3035181120546362 103.82439062361162 1.3040240949630044 103.82435328722222,69,60,E,ORCHARD SPRING LANE,7,park/traffic_spe
103000054,1.2977954689273836 103.81184137776128 1.2979363108403927 103.81139535719257,19,10,E,KAY SIANG ROAD,2,park/traffic_spe
103000055,1.2979363108403927 103.81139535719257 1.2977954689273836 103.81184137776128,29,20,E,KAY SIANG ROAD,3,park/traffic_spe
103000056,1.3235238431328136 103.8508428681823 1.3241924351833945 103.85149036161232,39,30,E,MARTABAN ROAD,4,park/traffic_spe
103000062,1.3235238431328136 103.8508428681823 1.3242848802266947 103.85008775600024,999,70,E,MARTABAN ROAD,8,park/traffic_spe
103000063,1.3242848802266947 103.85008775600024 1.3235238431328136 103.8508428681823,49,40,E,MARTABAN ROAD,5,park/traffic_spe
103000066,1.319450709571759 103.84838600107199 1.3202305802943324 103.84823264087314,49,40,E,JALAN TAN TOCK SENG,5,park/traffic_spe
103000067,1.3202305802943324 103.84823264087314 1.319450709571759 103.84838600107199,39,30,E,JALAN TAN TOCK SENG,4,park/traffic_spe
103000068,1.3020505931348514 103.84753501033079 1.3020981998994814 103.84735684695016,39,30,E,SOPHIA ROAD,4,park/traffic_spe
